Отчет об анализе текста из текстового поля
Общее количество: 18165 символов. Пробельных символов: 2746 (15,117%)
-------------------------------------------------------
1) о - 1441 - 7,933%
2) а - 1100 - 6,056%
3) е - 995 - 5,478%
4) и - 963 - 5,301%
5) т - 844 - 4,646%
6) н - 823 - 4,531%
7) р - 817 - 4,498%
8) с - 751 - 4,134%
9) в - 501 - 2,758%
10) л - 491 - 2,703%
11) п - 485 - 2,67%
12) м - 457 - 2,516%
13) к - 440 - 2,422%
14) . - 381 - 2,097%
15) д - 360 - 1,982%
16) … - 335 - 1,844%
17) я - 281 - 1,547%
18) з - 250 - 1,376%
19) ы - 233 - 1,283%
20) г - 226 - 1,244%
21) у - 222 - 1,222%
22) б - 168 - 0,925%
23) ь - 167 - 0,919%
24) й - 156 - 0,859%
25) ч - 156 - 0,859%
26) _ - 145 - 0,798%
27) х - 104 - 0,573%
28) ж - 94 - 0,517%
29) 2 - 89 - 0,49%
30) ф - 82 - 0,451%
31) , - 81 - 0,446%
32) 0 - 80 - 0,44%
33) t - 79 - 0,435%
34) 1 - 78 - 0,429%
35) - - 74 - 0,407%
36) o - 73 - 0,402%
37) ц - 72 - 0,396%
38) ю - 71 - 0,391%
39) d - 63 - 0,347%
40) i - 59 - 0,325%
41) s - 59 - 0,325%
42) % - 56 - 0,308%
43) ) - 54 - 0,297%
44) n - 53 - 0,292%
45) r - 53 - 0,292%
46) e - 45 - 0,248%
47) w - 43 - 0,237%
48) ш - 41 - 0,226%
49) / - 37 - 0,204%
50) a - 37 - 0,204%
51) 4 - 36 - 0,198%
52) f - 35 - 0,193%
53) c - 34 - 0,187%
54) э - 32 - 0,176%
55) u - 31 - 0,171%
56) щ - 30 - 0,165%
57) ( - 28 - 0,154%
58) l - 28 - 0,154%
59) b - 28 - 0,154%
60) 3 - 26 - 0,143%
61) : - 26 - 0,143%
62) p - 25 - 0,138%
63) 8 - 24 - 0,132%
64) 7 - 23 - 0,127%
65) 5 - 23 - 0,127%
66) – - 23 - 0,127%
67) m - 22 - 0,121%
68) ; - 19 - 0,105%
69) # - 16 - 0,088%
70) 6 - 15 - 0,083%
71) h - 14 - 0,077%
72) « - 12 - 0,066%
73) » - 12 - 0,066%
74) [ - 11 - 0,061%
75) ] - 11 - 0,061%
76) 9 - 10 - 0,055%
77) * - 8 - 0,044%
78) g - 8 - 0,044%
79) x - 7 - 0,039%
80) ъ - 7 - 0,039%
81) v - 7 - 0,039%
82) k - 5 - 0,028%
83) + - 4 - 0,022%
84) ё - 4 - 0,022%
85) j - 3 - 0,017%
86) y - 3 - 0,017%
87) ~ - 2 - 0,011%
88) № - 1 - 0,006%
89) & - 1 - 0,006%
